"Título";"ENP ID";"SIDE CODE";"SITE CODE NAT";"Figura asimilable Ley de Patrimonio";"Comunidad autónoma";"Figura CCAA";"Enlace";"Primera designación";"Norma primera designación";"Año primera designación";"Norma del PORN vigente";"Año del PORN vigente";"Norma declaración vigente";"Año declaración vigente";"Norma del instrumento de gestión vigente";"Año del instrumento de gestión vigente";"Año de aprobación de PUP";"Año de aprobación de PDS";"Superficie Total";"Superficie Terrestre";"Superficie Marina";"Superficie Pública";"Registros"
"s'Estany";"530032";"0";"0";"Reserva Natural";"Illes Balears";"Reserva Natural";"www.redeuroparc.org";"0";"";"";"Acuerdo de Consejo de Gobierno de 16 de mayo. BOIB 89.";"2003";"Decreto 51/2003 de 16 de mayo. BOIB 82 de 10 de junio de 2003";"2003";"";"";"";"";"";"";"";"";"Datos s'Estany (2012)"
"Ses Salines d'Eivissa i Formentera";"530021";"196166";"ES530010";"Parque Natural";"Illes Balears";"Parque Natural";"www.redeuroparc.org";"0";"";"";"Acuerdo de consejo de gobierno de 24 de mayo.BOIB 80.";"2002";"Ley 17/2001 de 19 de diciembre. BOIB 156 de 29 de diciembre de 2001.";"2001";"Decreto 132/2005, 23 de diciembre. BOIB 196 de 31 de diciembre de 2005";"2005";"";"";"";"";"";"";"Datos Ses Salines d'Eivissa i Formentera (2012)"
"s'Espardell i s'Espardelló";"530023";"0";"0";"Reserva Natural";"Illes Balears";"Reserva Natural";"www.redeuroparc.org";"0";"";"";"Acuerdo de consejo de gobierno de 24 de mayo. BOIB 80.";"2002";"Ley 17/2001 de 19 de diciembre. BOIB 156 de 29 de diciembre de 2001";"2001";"Decreto 132/2005, 23 de diciembre. BOIB 196 de 31 de diciembre de 2005";"2005";"";"";"";"";"";"";"Datos s'Espardell i s'Espardelló (2012)"
"s'Espalmador";"530022";"0";"0";"Reserva Natural";"Illes Balears";"Reserva Natural";"www.redeuroparc.org";"0";"";"";"Acuerdo de consejo de gobierno de 24 de mayo.BOIB 80.";"2002";"Ley 17/2001 de 19 de diciembre. BOIB 156 de 29 de diciembre de 2001";"2001";"Decreto 132/2005, 23 de diciembre. BOIB 196 de 31 de diciembre de 2005";"2005";"";"";"";"";"";"";"Datos s'Espalmador (2012)"
"Ses Fonts Ufanes";"530080";"389563";"ES530081";"Otros";"Illes Balears";"Sitio de Interés Científico";"www.redeuroparc.org";"0";"";"";"Decreto 19/2007, de 16 de marzo. BOIB 54, 11 de abril de 2007.Decreto 19/2007, de 16 de marzo. BOIB 54.";"2007";" Acuerdo del Consejo de Gobierno de 16 de marzo de 2007 , por el que se declara Paraje Natural de la Serra de Tramuntana.  ";"2007";"";"";"";"";"";"";"";"";"Datos Ses Fonts Ufanes (2012)"
"Ses Fonts Ufanes";"530005";"349465";"ES530006";"Monumento Natural";"Illes Balears";"Monumento Natural";"www.redeuroparc.org";"0";"";"";"Decreto 19/2007, de 16 de marzo. BOIB 54, 11 de abril de 2007.";"2007";"Decreto 111/2001 de 31 de agosto. BOIB 109 de 11 de septiembre de 2001";"2001";"";"";"";"";"";"";"";"";"Datos Ses Fonts Ufanes (2012)"
"Serrezuela de Valsalobre";"420054";"0";"0";"Monumento Natural";"Castilla-La Mancha";"Monumento Natural";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 76/2003 de 13 de mayo. DOCM 82 de 6 de junio de 2003.";"2003";"";"";"";"";"";"";"";"";"Datos Serrezuela de Valsalobre (2012)"
"Serres d´Odèn-Port del Comte";"510196";"389192";"ES510196";"PEIN";"Cataluña";"PEIN";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 328/1992 de 14 de diciembre. DOGC 1714 de 1 de marzo de 1993";"1992";"";"";"";"";"";"";"";"";"Datos Serres d´Odèn-Port del Comte (2012)"
"Serres de Pradell-l´Argentera";"510201";"389204";"ES510201";"PEIN";"Cataluña";"PEIN";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 328/1992 de 14 de diciembre. DOGC 1714 de 1 de marzo de 1993";"1992";"";"";"";"";"";"";"";"";"Datos Serres de Pradell-l´Argentera (2012)"
"Serres de Pàndols-Cavalls";"510200";"389196";"ES510200";"PEIN";"Cataluña";"PEIN";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 328/1992 de 14 de diciembre. DOGC 1714 de 1 de marzo de 1993";"1992";"";"";"";"";"";"";"";"";"Datos Serres de Pàndols-Cavalls (2012)"
"Serres de Milany-Santa Magdalena i Puigsacalm-Bellmunt";"510199";"389195";"ES510199";"PEIN";"Cataluña";"PEIN";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 328/1992 de 14 de diciembre. DOGC 1714 de 1 de marzo de 1993";"1992";"";"";"";"";"";"";"";"";"Datos Serres de Milany-Santa Magdalena i Puigsacalm-Bellmunt (2012)"
"Serres del Montnegre i el Corredor";"510203";"389206";"ES510203";"PEIN";"Cataluña";"PEIN";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 328/1992 de 14 de diciembre. DOGC 1714 de 1 de marzo de 1993";"1992";"";"";"";"";"";"";"";"";"Datos Serres del Montnegre i el Corredor (2012)"
"Serres del Cadí-Moixeró";"510202";"389205";"ES510202";"PEIN";"Cataluña";"PEIN";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 328/1992 de 14 de diciembre. DOGC 1714 de 1 de marzo de 1993";"1992";"";"";"";"";"";"";"";"";"Datos Serres del Cadí-Moixeró (2012)"
"Serres de Cardó-el Boix";"510198";"389194";"ES510198";"PEIN";"Cataluña";"PEIN";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 328/1992 de 14 de diciembre. DOGC 1714 de 1 de marzo de 1993";"1992";"";"";"";"";"";"";"";"";"Datos Serres de Cardó-el Boix (2012)"
"Serres de Busa-els Bastets-Lord";"510197";"389193";"ES510197";"PEIN";"Cataluña";"PEIN";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 328/1992 de 14 de diciembre. DOGC 1714 de 1 de marzo de 1993";"1992";"";"";"";"";"";"";"";"";"Datos Serres de Busa-els Bastets-Lord (2012)"
"Serra Tramuntana";"530035";"389000";"ES530019";"Reserva Natural";"Illes Balears";"Reserva Natural Especial";"www.redeuroparc.org";"0";"";"";"Decreto 19/2007, de 16 de marzo. BOIB 54, 11 de abril de 2007.Decreto 19/2007, de 16 de marzo. BOIB 54.";"2007";" Acuerdo del Consejo de Gobierno de 16 de marzo de 2007 , por el que se declara Paraje Natural de la Serra de Tramuntana.  ";"2007";"";"";"";"";"";"";"";"";"Datos Serra Tramuntana (2012)"
"Serra Tramuntana";"530034";"389008";"ES530020";"Reserva Natural";"Illes Balears";"Reserva Natural Integral";"www.redeuroparc.org";"0";"";"";"Decreto 19/2007, de 16 de marzo. BOIB 54, 11 de abril de 2007.";"2007";" Acuerdo del Consejo de Gobierno de 16 de marzo de 2007 , por el que se declara Paraje Natural de la Serra de Tramuntana.  ";"2007";"";"";"";"";"";"";"";"";"Datos Serra Tramuntana (2012)"
"Serra Perenxisa";"520061";"349459";"ES523106";"Otros";"Comunidad Valenciana";"Paraje Natural Municipal";"www.redeuroparc.org";"0";"";"";"0";"";"Acuerdo de 10 de febrero de 2006. DOGV 5198 de 14 de febrero de 2006";"2006";"Acuerdo de 10 de febrero de 2006. DOGV 5198 de 14 de febrero de 2006";"2006";"";"";"";"";"";"";"Datos Serra Perenxisa (2012)"
"Serranía de Cuenca";"420099";"389021";"ES423016";"Parque Natural";"Castilla-La Mancha";"Parque Natural";"www.redeuroparc.org";"0";"";"";"Decreto 99/2006, de 1 de agosto. DOCM 210.";"2006";"Ley 5/2007, de 8 de marzo, de Declaración del Parque Natural de la Serranía de Cuenca. DOCM nº 60 de 20 de marzo de 2007";"2007";"";"";"";"";"";"";"";"";"Datos Serranía de Cuenca (2012)"
"Serra Mitjana";"510195";"389191";"ES510195";"PEIN";"Cataluña";"PEIN";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 328/1992 de 14 de diciembre. DOGC 1714 de 1 de marzo de 1993";"1992";"";"";"";"";"";"";"";"";"Datos Serra Mitjana (2012)"
"Serra Llarga-Secans de la Noguera";"510194";"389190";"ES510194";"PEIN";"Cataluña";"PEIN";"www.redeuroparc.org";"0";"";"";"Acuerdo de Gobierno del 11 de octubre. DOGC 5755 de 15 de noviembre de 2010.";"2010";"Decreto 328/1992 de 14 de diciembre. DOGC 1714 de 1 de marzo de 1993";"1992";"Acuerdo de Gobierno del 11 de octubre. DOGC 5755 de 15 de noviembre de 2010.";"2010";"";"";"";"";"";"";"Datos Serra Llarga-Secans de la Noguera (2012)"
"Serra Gelada-Sud";"520170";"0";"0";"Otros";"Comunidad Valenciana";"Microrreserva de flora";"www.redeuroparc.org";"0";"";"";"0";"";"Orden de 6 de noviembre de 2000, de la Conselleria de Medio Ambiente, por la que se declaran 18 microrreservas vegetales en la provincia de Alicante. DOGV 3928 de 30 de enero de 2001";"2001";"Orden de 6 de noviembre de 2000, de la Conselleria de Medio Ambiente, por la que se declaran 18 microrreservas vegetales en la provincia de Alicante. DOGV 3928 de 30 de enero de 2001";"2001";"";"";"";"";"";"";"Datos Serra Gelada-Sud (2012)"
"Serra Gelada-Nord";"520169";"0";"0";"Otros";"Comunidad Valenciana";"Microrreserva de flora";"www.redeuroparc.org";"0";"";"";"0";"";"Orden de 6 de noviembre de 2000, de la Conselleria de Medio Ambiente, por la que se declaran 18 microrreservas vegetales en la provincia de Alicante. DOGV 3928 de 30 de enero de 2001";"2001";"Orden de 6 de noviembre de 2000, de la Conselleria de Medio Ambiente, por la que se declaran 18 microrreservas vegetales en la provincia de Alicante. DOGV 3928 de 30 de enero de 2001";"2001";"";"";"";"";"";"";"Datos Serra Gelada-Nord (2012)"
"Serra Gelada i el seu entorn litoral";"520039";"349430";"ES521103";"Parque Natural";"Comunidad Valenciana";"Parque Natural";"www.redeuroparc.org";"0";"";"";"Decreto 58/2005, de 11 de marzo DOGV 4967. 16,03,2005";"2005";"Decreto 129/2005, de 29 de julio, del Consell de la Generalitat, por el que declara Parque Natural la Serra Gelada y su entorno litoral. DOGV 5062 de 2 de agosto de 2005";"2005";"";"";"";"";"";"";"";"";"Datos Serra Gelada i el seu entorn litoral (2012)"
"Serra de Turp i Mora Condal-Valldaran";"510189";"389185";"ES510189";"PEIN";"Cataluña";"PEIN";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 328/1992 de 14 de diciembre. DOGC 1714 de 1 de marzo de 1993";"1992";"";"";"";"";"";"";"";"";"Datos Serra de Turp i Mora Condal-Valldaran (2012)"
"Serra de Tramuntana";"530036";"389035";"ES530018";"Otros";"Illes Balears";"Paraje Natural";"www.redeuroparc.org";"0";"";"";"Decreto 19/2007, de 16 de marzo. BOIB 54, 11 de abril de 2007.Decreto 19/2007, de 16 de marzo. BOIB 54.";"2007";"Acuerdo del Consejo de Gobierno de 16/03/2007. BOIB 54 EXT. de 11/04/2007";"2007";"";"";"";"";"";"";"";"";"Datos Serra de Tramuntana (2012)"
"Serra de Serrella-Barranc Fort";"520168";"0";"0";"Otros";"Comunidad Valenciana";"Microrreserva de flora";"www.redeuroparc.org";"0";"";"";"0";"";"Orden de 6 de noviembre de 2000, de la Conselleria de Medio Ambiente, por la que se declaran 18 microrreservas vegetales en la provincia de Alicante. DOGV 3928 de 30 de enero de 2001";"2001";"Orden de 6 de noviembre de 2000, de la Conselleria de Medio Ambiente, por la que se declaran 18 microrreservas vegetales en la provincia de Alicante. DOGV 3928 de 30 de enero de 2001";"2001";"";"";"";"";"";"";"Datos Serra de Serrella-Barranc Fort (2012)"
"Serra de Rodes";"510232";"349439";"ES512046";"Otros";"Cataluña";"Paraje Natural de Interés Nacional";"www.redeuroparc.org";"0";"";"";"0";"";"Ley 4/1998 de 12 de marzo. DOGC 2611 de 1 de abril de 1998";"1998";"";"";"";"";"";"";"";"";"Datos Serra de Rodes (2012)"
"Serra de Queralt";"510187";"389184";"ES510187";"PEIN";"Cataluña";"PEIN";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 328/1992 de 14 de diciembre. DOGC 1714 de 1 de marzo de 1993";"1992";"";"";"";"";"";"";"";"";"Datos Serra de Queralt (2012)"
"Serra de Quatretonda";"520064";"349440";"ES523104";"Otros";"Comunidad Valenciana";"Paraje Natural Municipal";"www.redeuroparc.org";"0";"";"";"0";"";"Acuerdo de 5 de mayo de 2006. DOGV 5255 de 10 de mayo de 2006";"2006";"Acuerdo de 5 de mayo de 2006. DOGV 5255 de 10 de mayo de 2006";"2006";"";"";"";"";"";"";"Datos Serra de Quatretonda (2012)"
"Serra de Prada-Castellàs";"510265";"389242";"ES510265";"PEIN";"Cataluña";"PEIN";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 328/1992 de 14 de diciembre. DOGC 1714 de 1 de marzo de 1993";"1992";"";"";"";"";"";"";"";"";"Datos Serra de Prada-Castellàs (2012)"
"Serra de Picancel";"510186";"389183";"ES510186";"PEIN";"Cataluña";"PEIN";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 328/1992 de 14 de diciembre. DOGC 1714 de 1 de marzo de 1993";"1992";"";"";"";"";"";"";"";"";"Datos Serra de Picancel (2012)"
"Serra de Pena Corneira";"110092";"389112";"ES113015";"Monumento Natural";"Galicia";"Monumento Natural";"www.redeuroparc.org";"0";"0";"0";"0";"";"Decreto 264/2007 de 20 de diciembre. DOG A 13, 18 de enero de 2008.";"2008";"";"";"";"";"";"";"";"";"Datos Serra de Pena Corneira (2012)"
"Serra d´Ensija-els Rasos de Peguera";"510176";"389174";"ES510176";"PEIN";"Cataluña";"PEIN";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 328/1992 de 14 de diciembre. DOGC 1714 de 1 de marzo de 1993";"1992";"";"";"";"";"";"";"";"";"Datos Serra d´Ensija-els Rasos de Peguera (2012)"
"Serra de Montsià";"510185";"389182";"ES510185";"PEIN";"Cataluña";"PEIN";"www.redeuroparc.org";"0";"";"";"Resolución de 6 de marzo de 2000. DOGC 3127.";"2000";"Decreto 328/1992 de 14 de diciembre. DOGC 1714 de 1 de marzo de 1993";"1992";"";"";"";"";"";"";"";"";"Datos Serra de Montsià (2012)"
"Serra de Montgrony";"510184";"389181";"ES510184";"PEIN";"Cataluña";"PEIN";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 328/1992 de 14 de diciembre. DOGC 1714 de 1 de marzo de 1993";"1992";"";"";"";"";"";"";"";"";"Datos Serra de Montgrony (2012)"
"Serra del Verd";"510193";"389189";"ES510193";"PEIN";"Cataluña";"PEIN";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 328/1992 de 14 de diciembre. DOGC 1714 de 1 de marzo de 1993";"1992";"";"";"";"";"";"";"";"";"Datos Serra del Verd (2012)"
"Serra del Rentonar";"520243";"0";"0";"Otros";"Comunidad Valenciana";"Microrreserva de flora";"www.redeuroparc.org";"0";"";"";"0";"";"Orden de 13 de noviembre de 2002, de la Conselleria de Medio Ambiente, por la que se declaran 11 microrreservas vegetales en la provincia de Alicante. DOGV 4390 de 2 de diciembre de 2002";"2002";"Orden de 13 de noviembre de 2002, de la Conselleria de Medio Ambiente, por la que se declaran 11 microrreservas vegetales en la provincia de Alicante. DOGV 4390 de 2 de diciembre de 2002";"2002";"";"";"";"";"";"";"Datos Serra del Rentonar (2012)"
"Serra del Puig";"520624";"555595651";"ES522174";"Otros";"Comunidad Valenciana";"Paraje Natural Municipal";"www.redeuroparc.org";"2016";"";"";"";"";"";"";"";"";"";"";"17.44 ha";"17.44 ha";"";"";""
"Serra de L'Ombria-Pou Clar";"520363";"389060";"ES523107";"Otros";"Comunidad Valenciana";"Paraje Natural Municipal";"www.redeuroparc.org";"0";"";"";"0";"";"Acuerdo de 26 de octubre de 2007. DOGV 5630. 31 de octubre de 2007";"2007";"Acuerdo de 26 de octubre de 2007";"2007";"";"";"";"";"";"";"Datos Serra de L'Ombria-Pou Clar (2012)"
"Serra del Montsec";"510192";"389188";"ES510192";"PEIN";"Cataluña";"PEIN";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 328/1992 de 14 de diciembre. DOGC 1714 de 1 de marzo de 1993";"1992";"";"";"";"";"";"";"";"";"Datos Serra del Montsec (2012)"
"Serra del Montsant";"510237";"349447";"ES514018";"Parque Natural";"Cataluña";"Parque Natural";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 131/2002 de 30 de abril. DOGC 3636 de 15 de mayo de 2002";"2002";"Criterios de gestión  2003";"2012";"";"";"";"";"";"";"Datos Serra del Montsant (2012)"
"Serra del Montsant";"510191";"389187";"ES510191";"PEIN";"Cataluña";"PEIN";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 328/1992 de 14 de diciembre. DOGC 1714 de 1 de marzo de 1993";"1992";"";"";"";"";"";"";"";"";"Datos Serra del Montsant (2012)"
"Serra del Maigmó y Serra del Sit";"520048";"389043";"ES521110";"Paisaje Protegido";"Comunidad Valenciana";"Paisaje Protegido";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 25/2007, de 23 de febrero, del Consell, de declaración del Paisaje Protegido de la Serra del Maigmó y Serra del Sit. DOCV 5459 de 27 de enero de 2007";"2007";"";"";"";"";"";"";"";"";"Datos Serra del Maigmó y Serra del Sit (2012)"
"Serra de Llaberia";"510182";"389180";"ES510182";"PEIN";"Cataluña";"PEIN";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 328/1992 de 14 de diciembre. DOGC 1714 de 1 de marzo de 1993";"1992";"";"";"";"";"";"";"";"";"Datos Serra de Llaberia (2012)"
"Serra del Catllaràs";"510190";"389186";"ES510190";"PEIN";"Cataluña";"PEIN";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 328/1992 de 14 de diciembre. DOGC 1714 de 1 de marzo de 1993";"1992";"";"";"";"";"";"";"";"";"Datos Serra del Catllaràs (2012)"
"Serra del Castell de Xàtiva";"520150";"0";"0";"Otros";"Comunidad Valenciana";"Microrreserva de flora";"www.redeuroparc.org";"0";"";"";"0";"";"Orden de 4 de mayo de 1999, de la Conselleria de Medio Ambiente, por la que se declaran 33 microrreservas vegetales en la provincia de Alicante y 29 microrreservas vegetales en la provincia de Valencia. DOGV 3505 de 28 de mayo de 1999";"1999";"Orden de 4 de mayo de 1999, de la Conselleria de Medio Ambiente, por la que se declaran 33 microrreservas vegetales en la provincia de Alicante y 29 microrreservas vegetales en la provincia de Valencia. DOGV 3505 de 28 de mayo de 1999";"1999";"";"";"";"";"";"";"Datos Serra del Castell de Xàtiva (2012)"
"Serra del Cabeçò d'Or";"520149";"0";"0";"Otros";"Comunidad Valenciana";"Microrreserva de flora";"www.redeuroparc.org";"0";"";"";"0";"";"Orden de 4 de mayo de 1999, de la Conselleria de Medio Ambiente, por la que se declaran 33 microrreservas vegetales en la provincia de Alicante y 29 microrreservas vegetales en la provincia de Valencia. DOGV 3505 de 28 de mayo de 1999";"1999";"Orden de 4 de mayo de 1999, de la Conselleria de Medio Ambiente, por la que se declaran 33 microrreservas vegetales en la provincia de Alicante y 29 microrreservas vegetales en la provincia de Valencia. DOGV 3505 de 28 de mayo de 1999";"1999";"";"";"";"";"";"";"Datos Serra del Cabeçò d'Or (2012)"
"Serra de la Creu";"520339";"0";"0";"Otros";"Comunidad Valenciana";"Microrreserva de flora";"www.redeuroparc.org";"0";"";"";"0";"";"Orden de 17 de julio de 2006, de la Conselleria de Territorio y Vivienda, por la que se declaran 16 microrreservas vegetales en la provincia de Valencia DOGV 5343 de 11 de septiembre de 2006";"2006";"Orden de 17 de julio de 2006, de la Conselleria de Territorio y Vivienda, por la que se declaran 16 microrreservas vegetales en la provincia de Valencia DOGV 5343 de 11 de septiembre de 2006";"2006";"";"";"";"";"";"";"Datos Serra de la Creu (2012)"
"Serra de Godall";"510263";"389240";"ES510263";"PEIN";"Cataluña";"PEIN";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 328/1992 de 14 de diciembre. DOGC 1714 de 1 de marzo de 1993";"1992";"";"";"";"";"";"";"";"";"Datos Serra de Godall (2012)"
"Serra de Collserola";"510274";"555546000";"ES511007";"Parque Natural";"Cataluña";"Parque Natural";"www.redeuroparc.org";"0";"1987";"";"0";"";"Decreto 146/2010 de 19 de octubre. DOGC 5745 de 29 de octubre de 2010";"2010";"";"";"";"";"";"";"";"";"Datos Serra de Collserola (2012)"
"Serra de Collserola";"510181";"389179";"ES510181";"PEIN";"Cataluña";"PEIN";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 328/1992 de 14 de diciembre. DOGC 1714 de 1 de marzo de 1993";"1992";"";"";"";"";"";"";"";"";"Datos Serra de Collserola (2012)"
"Serra de Collcardús";"510262";"389239";"ES510262";"PEIN";"Cataluña";"PEIN";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 328/1992 de 14 de diciembre. DOGC 1714 de 1 de marzo de 1993";"1992";"";"";"";"";"";"";"";"";"Datos Serra de Collcardús (2012)"
"Serra de Celetes";"520373";"0";"0";"Otros";"Comunidad Valenciana";"Microrreserva de flora";"www.redeuroparc.org";"0";"";"";"0";"0";"Orden 11/2010, de 26 de Mayo de 2010. DOCV 6286";"2010";"Orden 11/2010, de 26 de mayo. DOCV 6286 del 10 de junio de 2010.";"2010";"0";"0";"";"";"";"";"Datos Serra de Celetes (2012)"
"Serra de Castelltallat";"510180";"389178";"ES510180";"PEIN";"Cataluña";"PEIN";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 328/1992 de 14 de diciembre. DOGC 1714 de 1 de marzo de 1993";"1992";"";"";"";"";"";"";"";"";"Datos Serra de Castelltallat (2012)"
"Serra de Carreu-Sant Corneli";"510179";"389177";"ES510179";"PEIN";"Cataluña";"PEIN";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 328/1992 de 14 de diciembre. DOGC 1714 de 1 de marzo de 1993";"1992";"";"";"";"";"";"";"";"";"Datos Serra de Carreu-Sant Corneli (2012)"
"Serra de Boumort";"510178";"389176";"ES510178";"PEIN";"Cataluña";"PEIN";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 328/1992 de 14 de diciembre. DOGC 1714 de 1 de marzo de 1993";"1992";"";"";"";"";"";"";"";"";"Datos Serra de Boumort (2012)"
"Serra de Bellmunt-Almenara";"510177";"0";"0";"PEIN";"Cataluña";"PEIN";"www.redeuroparc.org";"0";"";"";"Acuerdo de Gobierno del 11 de octubre. DOGC 5755 de 15 de noviembre de 2010.";"2010";"Decreto 328/1992 de 14 de diciembre. DOGC 1714 de 1 de marzo de 1993";"1992";"Acuerdo de Gobierno del 11 de octubre. DOGC 5755 de 15 de noviembre de 2010.";"2010";"";"";"";"";"";"";"Datos Serra de Bellmunt-Almenara (2012)"
"Serra d´Aubenç i Roc de Cogul";"510175";"389173";"ES510175";"PEIN";"Cataluña";"PEIN";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 328/1992 de 14 de diciembre. DOGC 1714 de 1 de marzo de 1993";"1992";"";"";"";"";"";"";"";"";"Datos Serra d´Aubenç i Roc de Cogul (2012)"
"Serra da Enciña da Lastra";"110013";"349442";"ES113004";"Parque Natural";"Galicia";"Parque Natural";"www.redeuroparc.org";"0";"";"";"Decreto 77/2002, de 28 de febrero 55.";"2002";"Decreto 157/2002 de 4 de abril DOG. nº 85 3/5/2002";"2002";"";"";"";"";"";"";"";"";"Datos Serra da Enciña da Lastra (2012)"
"Serra Cavallera";"510174";"389172";"ES510174";"PEIN";"Cataluña";"PEIN";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 328/1992 de 14 de diciembre. DOGC 1714 de 1 de marzo de 1993";"1992";"";"";"";"";"";"";"";"";"Datos Serra Cavallera (2012)"
"Serpis";"520049";"389040";"ES520004";"Paisaje Protegido";"Comunidad Valenciana";"Paisaje Protegido";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 39/2007, de 13 de abril, del Consell, de declaración del Paisaje Protegido del Serpis. DOCV 5492 de 18 de abril de 2007";"2007";"";"";"";"";"";"";"";"";"Datos Serpis (2012)"
"Serós-Tossals de Montmeneu";"510209";"389212";"ES510209";"PEIN";"Cataluña";"PEIN";"www.redeuroparc.org";"0";"";"";"Acuerdo de Gobierno del 11 de octubre. DOGC 5755 de 15 de noviembre de 2010.";"2010";"Decreto 328/1992 de 14 de diciembre. DOGC 1714 de 1 de marzo de 1993";"1992";"Acuerdo de Gobierno del 11 de octubre. DOGC 5755 de 15 de noviembre de 2010.";"2010";"";"";"";"";"";"";"Datos Serós-Tossals de Montmeneu (2012)"
